Plant Name,Temperature (Â°C),Soil Type,Soil pH,Growth Stage,Available Waste Products
Peas,22.5,Chalk,6.8,Growth,"Compost, Coffee Grounds, Fish Emulsion"
Mango,34.0,Loamy,7.3,Growth,"Rice Husk, Grass Clippings, Pea Pods"
Potato,29.6,Silt,7.0,Final,"Coffee Grounds, Rice Husk, Pea Pods"
Tomato,27.0,Peat,8.3,Final,"Mulch (Wood Chips), Coconut Shells, Banana Peels"
Watermelon,18.1,Sand,7.0,Growth,"Worm Castings, Seaweed Extract, Coconut Shells"
Brinjal,18.1,Peat,8.5,Initial,"Fruit Scraps, Cow Manure, Fish Emulsion"
Brinjal,16.2,Loamy,8.1,Growth,"Compost, Coconut Shells, Rice Husk"
Brinjal,32.3,Loamy,6.1,Growth,"Fruit Scraps, Mulch (Wood Chips), Tree Leaves"
Spinach,27.0,Sand,8.3,Initial,"Corn Stalks, Vegetable Scraps, Compost"
Peas,29.2,Clay,5.8,Final,"Pea Pods, Tree Leaves, Chicken Manure"
Carrot,15.4,Sand,8.0,Growth,"Compost, Fruit Scraps, Coffee Grounds"
Beetroot,34.4,Chalk,6.6,Growth,"Grass Clippings, Sugarcane Bagasse, Fish Emulsion"
Watermelon,31.6,Silt,8.1,Final,"Tree Leaves, Sugarcane Bagasse, Rice Husk"
Radish,19.2,Clay,8.1,Final,"Coffee Grounds, Seaweed Extract, Alfalfa Hay"
Cabbage,18.6,Sand,7.9,Initial,"Eggshells, Banana Peels, Compost"
Mango,18.7,Peat,7.9,Final,"Sugarcane Bagasse, Compost, Banana Peels"
Cauliflower,21.1,Clay,6.4,Final,"Grass Clippings, Mulch (Wood Chips), Coconut Shells"
Cauliflower,25.5,Clay,5.7,Final,"Tree Leaves, Vegetable Scraps, Sugarcane Bagasse"
Carrot,23.6,Sand,6.7,Initial,"Eggshells, Seaweed Extract, Cow Manure"
Tomato,20.8,Clay,6.0,Final,"Chicken Manure, Cow Manure, Eggshells"
Watermelon,27.2,Peat,7.6,Final,"Banana Peels, Chicken Manure, Sugarcane Bagasse"
Potato,17.8,Loamy,6.5,Initial,"Alfalfa Hay, Tree Leaves, Pea Pods"
Cabbage,20.8,Clay,8.4,Final,"Pea Pods, Coffee Grounds, Mulch (Wood Chips)"
Brinjal,22.3,Loamy,7.4,Final,"Pea Pods, Sugarcane Bagasse, Worm Castings"
Pumpkin,24.1,Peat,8.0,Initial,"Vegetable Scraps, Tree Leaves, Worm Castings"
Lettuce,30.7,Sand,5.9,Growth,"Cow Manure, Banana Peels, Compost"
Cauliflower,19.0,Silt,8.1,Initial,"Worm Castings, Chicken Manure, Cow Manure"
Chili,25.3,Clay,8.3,Final,"Worm Castings, Sugarcane Bagasse, Alfalfa Hay"
Lettuce,26.8,Silt,7.0,Final,"Seaweed Extract, Pea Pods, Fish Emulsion"
Cucumber,15.9,Peat,7.3,Final,"Pea Pods, Worm Castings, Chicken Manure"
Brinjal,27.2,Clay,7.8,Initial,"Fish Emulsion, Cow Manure, Banana Peels"
Onion,18.4,Loamy,6.0,Final,"Alfalfa Hay, Sugarcane Bagasse, Banana Peels"
Mango,16.3,Chalk,7.0,Final,"Banana Peels, Sugarcane Bagasse, Coconut Shells"
Spinach,34.0,Silt,6.7,Initial,"Fish Emulsion, Fruit Scraps, Rice Husk"
Pumpkin,34.3,Clay,5.9,Growth,"Coffee Grounds, Chicken Manure, Seaweed Extract"
Watermelon,31.2,Silt,6.6,Growth,"Cow Manure, Alfalfa Hay, Banana Peels"
Cucumber,21.1,Clay,5.7,Final,"Rice Husk, Worm Castings, Grass Clippings"
Lettuce,17.0,Sand,5.6,Initial,"Compost, Pea Pods, Corn Stalks"
Cabbage,28.7,Loamy,5.9,Final,"Vegetable Scraps, Fish Emulsion, Coffee Grounds"
Cabbage,23.8,Silt,8.4,Initial,"Vegetable Scraps, Mulch (Wood Chips), Cow Manure"
Chili,17.4,Chalk,7.1,Initial,"Grass Clippings, Coconut Shells, Sugarcane Bagasse"
Mango,24.9,Chalk,8.4,Growth,"Chicken Manure, Compost, Seaweed Extract"
Pumpkin,15.7,Peat,6.8,Growth,"Seaweed Extract, Worm Castings, Banana Peels"
Cauliflower,33.2,Clay,6.4,Initial,"Chicken Manure, Coconut Shells, Coffee Grounds"
Zucchini,20.2,Silt,7.0,Final,"Coffee Grounds, Worm Castings, Fish Emulsion"
Potato,28.3,Peat,6.8,Growth,"Worm Castings, Pea Pods, Coconut Shells"
Watermelon,21.2,Silt,5.8,Final,"Cow Manure, Mulch (Wood Chips), Coconut Shells"
Mango,25.4,Clay,7.4,Growth,"Mulch (Wood Chips), Fish Emulsion, Coconut Shells"
Tomato,25.9,Chalk,6.1,Growth,"Eggshells, Vegetable Scraps, Compost"
Zucchini,18.7,Sand,7.4,Final,"Tree Leaves, Chicken Manure, Rice Husk"
Garlic,34.4,Chalk,7.5,Growth,"Tree Leaves, Vegetable Scraps, Coffee Grounds"
Chili,30.5,Peat,6.0,Growth,"Rice Husk, Tree Leaves, Compost"
Pumpkin,33.8,Loamy,5.7,Final,"Tree Leaves, Sugarcane Bagasse, Coconut Shells"
Carrot,32.9,Sand,7.8,Growth,"Corn Stalks, Pea Pods, Compost"
Cauliflower,27.0,Peat,6.9,Growth,"Chicken Manure, Mulch (Wood Chips), Seaweed Extract"
Lettuce,33.4,Clay,5.7,Growth,"Corn Stalks, Sugarcane Bagasse, Seaweed Extract"
Chili,16.8,Sand,8.5,Final,"Corn Stalks, Chicken Manure, Eggshells"
Peas,18.9,Peat,5.7,Initial,"Vegetable Scraps, Chicken Manure, Pea Pods"
Spinach,15.9,Clay,7.6,Final,"Seaweed Extract, Fish Emulsion, Vegetable Scraps"
Onion,21.5,Chalk,8.5,Initial,"Worm Castings, Pea Pods, Fish Emulsion"
Mango,22.8,Loamy,6.2,Growth,"Seaweed Extract, Tree Leaves, Corn Stalks"
Beetroot,20.4,Clay,5.9,Initial,"Coffee Grounds, Corn Stalks, Coconut Shells"
Tomato,31.6,Silt,5.9,Final,"Coconut Shells, Chicken Manure, Banana Peels"
Beetroot,22.1,Clay,6.4,Final,"Grass Clippings, Rice Husk, Banana Peels"
Zucchini,20.6,Clay,5.8,Growth,"Compost, Sugarcane Bagasse, Chicken Manure"
Cauliflower,25.9,Loamy,7.6,Initial,"Sugarcane Bagasse, Worm Castings, Mulch (Wood Chips)"
Garlic,17.8,Silt,5.7,Growth,"Compost, Mulch (Wood Chips), Coffee Grounds"
Garlic,31.0,Peat,7.0,Growth,"Cow Manure, Banana Peels, Alfalfa Hay"
Potato,16.5,Peat,8.5,Final,"Coffee Grounds, Banana Peels, Corn Stalks"
Watermelon,34.7,Clay,7.9,Initial,"Coconut Shells, Sugarcane Bagasse, Compost"
Brinjal,30.4,Silt,7.3,Initial,"Compost, Coconut Shells, Fish Emulsion"
Beetroot,19.0,Silt,6.4,Initial,"Worm Castings, Coffee Grounds, Vegetable Scraps"
Watermelon,15.1,Loamy,7.4,Initial,"Chicken Manure, Seaweed Extract, Coconut Shells"
Chili,31.3,Chalk,7.1,Growth,"Eggshells, Sugarcane Bagasse, Pea Pods"
Broccoli,29.1,Peat,6.8,Growth,"Coffee Grounds, Grass Clippings, Corn Stalks"
Peas,29.6,Loamy,5.9,Final,"Chicken Manure, Alfalfa Hay, Fruit Scraps"
Potato,30.4,Sand,8.2,Growth,"Rice Husk, Pea Pods, Fish Emulsion"
Carrot,16.5,Peat,6.8,Growth,"Alfalfa Hay, Compost, Cow Manure"
Tomato,22.2,Loamy,6.1,Final,"Tree Leaves, Rice Husk, Corn Stalks"
Carrot,17.3,Peat,6.6,Final,"Mulch (Wood Chips), Fish Emulsion, Compost"
Brinjal,32.3,Chalk,6.7,Final,"Mulch (Wood Chips), Compost, Banana Peels"
Watermelon,27.5,Sand,8.0,Growth,"Seaweed Extract, Coconut Shells, Fruit Scraps"
Carrot,21.6,Chalk,7.7,Growth,"Coconut Shells, Fruit Scraps, Coffee Grounds"
Cabbage,16.3,Sand,7.8,Final,"Coffee Grounds, Coconut Shells, Eggshells"
Peas,21.2,Clay,5.5,Final,"Grass Clippings, Chicken Manure, Eggshells"
Spinach,21.5,Loamy,6.7,Final,"Fish Emulsion, Tree Leaves, Banana Peels"
Spinach,29.6,Sand,6.9,Growth,"Pea Pods, Fruit Scraps, Alfalfa Hay"
Brinjal,27.8,Chalk,5.6,Growth,"Fish Emulsion, Seaweed Extract, Compost"
Chili,32.7,Peat,6.3,Initial,"Sugarcane Bagasse, Rice Husk, Tree Leaves"
Cauliflower,24.4,Sand,7.8,Growth,"Sugarcane Bagasse, Eggshells, Vegetable Scraps"
Watermelon,17.4,Loamy,5.9,Growth,"Compost, Seaweed Extract, Alfalfa Hay"
Carrot,29.3,Sand,7.1,Growth,"Grass Clippings, Vegetable Scraps, Banana Peels"
Peas,30.2,Silt,6.1,Final,"Rice Husk, Grass Clippings, Seaweed Extract"
Onion,26.2,Peat,5.5,Growth,"Compost, Worm Castings, Sugarcane Bagasse"
Zucchini,30.4,Loamy,6.2,Final,"Banana Peels, Eggshells, Fruit Scraps"
Radish,24.9,Loamy,8.4,Initial,"Corn Stalks, Coconut Shells, Fish Emulsion"
Potato,25.5,Clay,7.9,Initial,"Worm Castings, Compost, Coconut Shells"
Chili,23.6,Chalk,8.4,Final,"Coffee Grounds, Banana Peels, Sugarcane Bagasse"
Peas,15.5,Clay,7.0,Final,"Vegetable Scraps, Coffee Grounds, Worm Castings"
Pumpkin,17.2,Loamy,5.8,Final,"Cow Manure, Rice Husk, Grass Clippings"
Cauliflower,15.6,Peat,7.1,Growth,"Cow Manure, Eggshells, Fruit Scraps"
Beetroot,27.7,Sand,6.9,Initial,"Tree Leaves, Rice Husk, Eggshells"
Lettuce,21.3,Sand,8.0,Final,"Eggshells, Fruit Scraps, Alfalfa Hay"
Lettuce,25.2,Peat,5.8,Growth,"Compost, Alfalfa Hay, Grass Clippings"
Brinjal,33.2,Loamy,7.0,Initial,"Seaweed Extract, Cow Manure, Alfalfa Hay"
Broccoli,20.0,Sand,6.0,Growth,"Worm Castings, Mulch (Wood Chips), Fish Emulsion"
Potato,23.2,Sand,6.5,Initial,"Alfalfa Hay, Chicken Manure, Banana Peels"
Brinjal,30.1,Sand,7.7,Growth,"Compost, Fish Emulsion, Banana Peels"
Carrot,19.6,Chalk,6.9,Initial,"Tree Leaves, Fruit Scraps, Compost"
Carrot,16.5,Chalk,6.6,Initial,"Cow Manure, Mulch (Wood Chips), Eggshells"
Watermelon,20.8,Silt,6.7,Growth,"Rice Husk, Cow Manure, Coffee Grounds"
Chili,18.2,Clay,6.9,Final,"Sugarcane Bagasse, Pea Pods, Compost"
Potato,33.6,Peat,7.9,Initial,"Corn Stalks, Fruit Scraps, Banana Peels"
Potato,31.2,Peat,8.2,Final,"Worm Castings, Sugarcane Bagasse, Pea Pods"
Tomato,27.7,Peat,8.4,Growth,"Mulch (Wood Chips), Worm Castings, Fruit Scraps"
Pumpkin,32.4,Silt,7.9,Final,"Seaweed Extract, Eggshells, Coffee Grounds"
Chili,31.1,Chalk,6.4,Final,"Eggshells, Pea Pods, Coconut Shells"
Zucchini,18.7,Loamy,7.6,Final,"Cow Manure, Seaweed Extract, Fruit Scraps"
Mango,32.9,Loamy,6.8,Final,"Compost, Chicken Manure, Sugarcane Bagasse"
Chili,25.8,Silt,6.3,Final,"Vegetable Scraps, Grass Clippings, Alfalfa Hay"
Peas,31.1,Loamy,8.0,Initial,"Cow Manure, Banana Peels, Corn Stalks"
Cucumber,32.9,Peat,5.6,Initial,"Seaweed Extract, Grass Clippings, Chicken Manure"
Radish,21.4,Clay,8.2,Initial,"Chicken Manure, Grass Clippings, Tree Leaves"
Pumpkin,17.2,Sand,6.9,Growth,"Pea Pods, Corn Stalks, Cow Manure"
Radish,19.6,Chalk,7.4,Final,"Coconut Shells, Seaweed Extract, Banana Peels"
Onion,23.5,Chalk,7.5,Initial,"Corn Stalks, Tree Leaves, Coffee Grounds"
Zucchini,31.4,Silt,8.2,Growth,"Vegetable Scraps, Compost, Chicken Manure"
Zucchini,32.2,Chalk,7.4,Initial,"Pea Pods, Sugarcane Bagasse, Vegetable Scraps"
Peas,15.1,Peat,7.3,Initial,"Fruit Scraps, Vegetable Scraps, Tree Leaves"
Potato,25.2,Loamy,5.7,Final,"Coffee Grounds, Alfalfa Hay, Seaweed Extract"
Tomato,23.3,Peat,7.1,Growth,"Seaweed Extract, Chicken Manure, Fruit Scraps"
Radish,19.4,Silt,6.0,Final,"Sugarcane Bagasse, Pea Pods, Corn Stalks"
Mango,17.4,Peat,7.7,Final,"Worm Castings, Corn Stalks, Sugarcane Bagasse"
Spinach,21.8,Loamy,7.0,Initial,"Seaweed Extract, Coconut Shells, Alfalfa Hay"
Chili,33.9,Clay,7.5,Final,"Tree Leaves, Vegetable Scraps, Chicken Manure"
Cucumber,21.5,Silt,5.6,Growth,"Fruit Scraps, Worm Castings, Coconut Shells"
Onion,25.4,Clay,5.8,Final,"Tree Leaves, Grass Clippings, Compost"
Mango,29.1,Sand,7.6,Final,"Coconut Shells, Pea Pods, Chicken Manure"
Mango,22.3,Clay,5.7,Final,"Sugarcane Bagasse, Seaweed Extract, Fruit Scraps"
Radish,34.4,Sand,5.7,Initial,"Coffee Grounds, Eggshells, Tree Leaves"
Cucumber,34.2,Sand,5.5,Growth,"Sugarcane Bagasse, Grass Clippings, Fruit Scraps"
Lettuce,20.0,Clay,8.4,Initial,"Tree Leaves, Worm Castings, Fruit Scraps"
Cucumber,24.9,Silt,7.7,Initial,"Vegetable Scraps, Grass Clippings, Mulch (Wood Chips)"
Brinjal,21.0,Loamy,6.6,Initial,"Chicken Manure, Banana Peels, Alfalfa Hay"
Cabbage,20.7,Peat,6.4,Initial,"Fruit Scraps, Alfalfa Hay, Worm Castings"
Mango,15.7,Peat,6.5,Initial,"Grass Clippings, Fruit Scraps, Seaweed Extract"
Carrot,27.2,Loamy,7.8,Growth,"Pea Pods, Tree Leaves, Alfalfa Hay"
Cauliflower,25.1,Sand,7.5,Final,"Pea Pods, Seaweed Extract, Coffee Grounds"
Brinjal,16.0,Sand,6.1,Initial,"Mulch (Wood Chips), Alfalfa Hay, Grass Clippings"
Potato,20.6,Silt,6.0,Initial,"Corn Stalks, Seaweed Extract, Banana Peels"
Cauliflower,33.2,Chalk,5.8,Growth,"Rice Husk, Eggshells, Chicken Manure"
Tomato,19.8,Clay,7.5,Growth,"Coconut Shells, Banana Peels, Coffee Grounds"
Pumpkin,17.9,Sand,7.8,Final,"Rice Husk, Fish Emulsion, Banana Peels"
Garlic,24.8,Peat,6.3,Growth,"Eggshells, Fish Emulsion, Corn Stalks"
Potato,34.7,Silt,5.6,Final,"Coffee Grounds, Worm Castings, Grass Clippings"
Brinjal,19.8,Clay,5.7,Initial,"Eggshells, Alfalfa Hay, Fish Emulsion"
Radish,28.4,Silt,8.4,Initial,"Sugarcane Bagasse, Alfalfa Hay, Eggshells"
Potato,30.2,Clay,6.4,Final,"Corn Stalks, Coffee Grounds, Mulch (Wood Chips)"
Cauliflower,19.8,Clay,7.8,Growth,"Seaweed Extract, Coffee Grounds, Corn Stalks"
Mango,29.6,Loamy,7.4,Final,"Chicken Manure, Coconut Shells, Sugarcane Bagasse"
Peas,22.4,Sand,6.6,Growth,"Seaweed Extract, Banana Peels, Rice Husk"
Garlic,27.6,Silt,6.1,Initial,"Fish Emulsion, Cow Manure, Eggshells"
Watermelon,27.7,Silt,5.9,Growth,"Sugarcane Bagasse, Pea Pods, Coffee Grounds"
Cabbage,25.7,Loamy,7.3,Final,"Chicken Manure, Alfalfa Hay, Banana Peels"
Garlic,16.8,Peat,7.8,Final,"Seaweed Extract, Coffee Grounds, Eggshells"
Cauliflower,31.7,Peat,7.4,Initial,"Mulch (Wood Chips), Grass Clippings, Corn Stalks"
Potato,21.4,Sand,7.1,Growth,"Chicken Manure, Coconut Shells, Sugarcane Bagasse"
Onion,18.7,Sand,5.6,Growth,"Mulch (Wood Chips), Rice Husk, Vegetable Scraps"
Radish,15.8,Chalk,8.4,Growth,"Alfalfa Hay, Seaweed Extract, Sugarcane Bagasse"
Broccoli,26.8,Loamy,7.9,Initial,"Chicken Manure, Cow Manure, Corn Stalks"
Mango,28.6,Peat,6.4,Growth,"Sugarcane Bagasse, Tree Leaves, Banana Peels"
Radish,15.3,Clay,8.4,Final,"Chicken Manure, Coffee Grounds, Corn Stalks"
Mango,25.2,Silt,7.3,Growth,"Cow Manure, Banana Peels, Fish Emulsion"
Watermelon,19.5,Sand,7.2,Initial,"Compost, Worm Castings, Coconut Shells"
Cauliflower,27.9,Silt,7.7,Growth,"Tree Leaves, Alfalfa Hay, Pea Pods"
Broccoli,18.5,Silt,7.9,Growth,"Seaweed Extract, Corn Stalks, Mulch (Wood Chips)"
Spinach,28.8,Chalk,7.5,Final,"Vegetable Scraps, Eggshells, Tree Leaves"
Pumpkin,22.7,Peat,5.9,Growth,"Fruit Scraps, Seaweed Extract, Corn Stalks"
Potato,33.7,Sand,6.5,Final,"Tree Leaves, Corn Stalks, Fish Emulsion"
Potato,17.8,Silt,8.3,Final,"Rice Husk, Fruit Scraps, Mulch (Wood Chips)"
Garlic,21.8,Sand,6.2,Initial,"Pea Pods, Mulch (Wood Chips), Sugarcane Bagasse"
Spinach,17.3,Clay,6.6,Final,"Vegetable Scraps, Sugarcane Bagasse, Coffee Grounds"
Spinach,33.5,Chalk,6.8,Final,"Worm Castings, Alfalfa Hay, Fruit Scraps"
Carrot,32.5,Clay,6.8,Initial,"Tree Leaves, Cow Manure, Alfalfa Hay"
Brinjal,20.2,Sand,7.3,Final,"Corn Stalks, Vegetable Scraps, Compost"
Lettuce,28.2,Sand,8.3,Initial,"Seaweed Extract, Vegetable Scraps, Chicken Manure"
Carrot,31.3,Peat,6.2,Growth,"Alfalfa Hay, Sugarcane Bagasse, Chicken Manure"
Watermelon,26.1,Silt,5.9,Initial,"Alfalfa Hay, Grass Clippings, Seaweed Extract"
Chili,25.6,Silt,6.1,Final,"Grass Clippings, Alfalfa Hay, Fish Emulsion"
Tomato,19.8,Clay,8.2,Initial,"Coffee Grounds, Tree Leaves, Vegetable Scraps"
Potato,16.9,Chalk,7.4,Final,"Vegetable Scraps, Banana Peels, Coconut Shells"
Beetroot,32.9,Loamy,6.4,Growth,"Tree Leaves, Compost, Coconut Shells"
Pumpkin,33.0,Silt,7.9,Initial,"Seaweed Extract, Fish Emulsion, Tree Leaves"
Zucchini,27.7,Peat,8.1,Growth,"Coffee Grounds, Mulch (Wood Chips), Corn Stalks"
Radish,21.8,Clay,8.0,Final,"Banana Peels, Pea Pods, Alfalfa Hay"
Cauliflower,22.0,Clay,8.3,Final,"Corn Stalks, Vegetable Scraps, Tree Leaves"
Peas,29.5,Loamy,6.3,Growth,"Fruit Scraps, Vegetable Scraps, Banana Peels"
Onion,32.9,Peat,7.8,Initial,"Worm Castings, Seaweed Extract, Pea Pods"
Lettuce,32.7,Chalk,6.9,Initial,"Vegetable Scraps, Compost, Sugarcane Bagasse"
Watermelon,30.6,Peat,8.0,Final,"Tree Leaves, Eggshells, Worm Castings"
Onion,27.8,Chalk,7.7,Growth,"Pea Pods, Corn Stalks, Compost"
Lettuce,16.7,Peat,7.8,Growth,"Sugarcane Bagasse, Coffee Grounds, Tree Leaves"
Potato,18.2,Peat,7.5,Initial,"Tree Leaves, Vegetable Scraps, Corn Stalks"
Lettuce,33.0,Sand,6.0,Initial,"Sugarcane Bagasse, Chicken Manure, Worm Castings"
Carrot,27.1,Clay,7.1,Initial,"Seaweed Extract, Grass Clippings, Alfalfa Hay"
Spinach,15.2,Peat,8.5,Growth,"Coffee Grounds, Corn Stalks, Cow Manure"
Carrot,17.0,Loamy,8.3,Initial,"Corn Stalks, Compost, Seaweed Extract"
Garlic,28.3,Peat,5.6,Initial,"Alfalfa Hay, Fish Emulsion, Rice Husk"
Onion,15.1,Silt,6.0,Final,"Tree Leaves, Fish Emulsion, Chicken Manure"
Cabbage,18.2,Clay,5.9,Initial,"Vegetable Scraps, Seaweed Extract, Worm Castings"
Cauliflower,26.0,Silt,7.7,Initial,"Grass Clippings, Compost, Coconut Shells"
Brinjal,28.8,Clay,8.0,Growth,"Cow Manure, Coconut Shells, Coffee Grounds"
Brinjal,28.0,Silt,6.1,Growth,"Rice Husk, Banana Peels, Tree Leaves"
Lettuce,19.5,Peat,7.0,Final,"Mulch (Wood Chips), Coconut Shells, Compost"
Watermelon,29.2,Peat,8.0,Initial,"Chicken Manure, Coconut Shells, Tree Leaves"
Peas,19.7,Sand,7.7,Final,"Compost, Coconut Shells, Corn Stalks"
Spinach,21.5,Loamy,7.1,Growth,"Fruit Scraps, Corn Stalks, Chicken Manure"
Broccoli,29.9,Silt,7.3,Final,"Seaweed Extract, Coconut Shells, Mulch (Wood Chips)"
Tomato,28.0,Chalk,7.0,Growth,"Vegetable Scraps, Worm Castings, Seaweed Extract"
Beetroot,32.0,Sand,6.4,Final,"Fish Emulsion, Grass Clippings, Worm Castings"
Pumpkin,28.2,Silt,7.2,Final,"Tree Leaves, Corn Stalks, Seaweed Extract"
Cabbage,26.4,Silt,7.6,Initial,"Seaweed Extract, Chicken Manure, Sugarcane Bagasse"
Zucchini,16.9,Sand,8.1,Final,"Sugarcane Bagasse, Alfalfa Hay, Coconut Shells"
Zucchini,22.4,Peat,7.4,Initial,"Cow Manure, Corn Stalks, Eggshells"
Cabbage,20.3,Silt,7.8,Initial,"Corn Stalks, Compost, Fish Emulsion"
Cabbage,19.9,Peat,6.0,Initial,"Seaweed Extract, Corn Stalks, Fish Emulsion"
Pumpkin,34.5,Sand,6.9,Initial,"Chicken Manure, Pea Pods, Fruit Scraps"
Beetroot,22.9,Peat,5.5,Final,"Coconut Shells, Sugarcane Bagasse, Fish Emulsion"
Cucumber,32.8,Clay,6.2,Growth,"Compost, Mulch (Wood Chips), Vegetable Scraps"
Pumpkin,27.6,Chalk,7.7,Growth,"Cow Manure, Seaweed Extract, Pea Pods"
Radish,30.9,Silt,8.5,Growth,"Sugarcane Bagasse, Pea Pods, Fish Emulsion"
Brinjal,25.1,Loamy,5.8,Final,"Compost, Chicken Manure, Mulch (Wood Chips)"
Zucchini,26.5,Chalk,6.7,Initial,"Tree Leaves, Fish Emulsion, Grass Clippings"
Zucchini,24.9,Peat,7.9,Growth,"Alfalfa Hay, Pea Pods, Seaweed Extract"
Radish,18.9,Silt,6.1,Final,"Compost, Rice Husk, Fruit Scraps"
Watermelon,29.4,Peat,7.2,Initial,"Coconut Shells, Mulch (Wood Chips), Alfalfa Hay"
Tomato,20.6,Clay,7.7,Growth,"Fruit Scraps, Eggshells, Grass Clippings"
Radish,15.5,Sand,7.3,Initial,"Tree Leaves, Seaweed Extract, Cow Manure"
Tomato,27.9,Silt,6.1,Growth,"Corn Stalks, Mulch (Wood Chips), Banana Peels"
Brinjal,18.5,Clay,6.6,Growth,"Sugarcane Bagasse, Rice Husk, Fish Emulsion"
Zucchini,33.8,Clay,7.9,Growth,"Coffee Grounds, Vegetable Scraps, Fish Emulsion"
Zucchini,34.1,Silt,7.2,Initial,"Mulch (Wood Chips), Cow Manure, Fish Emulsion"
Lettuce,33.3,Peat,5.5,Final,"Grass Clippings, Sugarcane Bagasse, Fish Emulsion"
Potato,22.4,Loamy,7.8,Initial,"Fish Emulsion, Compost, Rice Husk"
Peas,15.3,Clay,5.6,Growth,"Compost, Cow Manure, Eggshells"
Peas,33.6,Chalk,7.7,Initial,"Tree Leaves, Eggshells, Cow Manure"
Onion,23.6,Clay,6.1,Final,"Sugarcane Bagasse, Vegetable Scraps, Banana Peels"
Tomato,34.3,Loamy,8.4,Initial,"Worm Castings, Tree Leaves, Sugarcane Bagasse"
Pumpkin,34.3,Peat,6.6,Final,"Pea Pods, Chicken Manure, Alfalfa Hay"
