Plant Name,Temperature (Â°C),Soil Type,Soil pH,Growth Stage,Available Waste Products
Zucchini,34.5,Loamy,6.5,Final,"Rice Husk, Fish Emulsion, Coconut Shells"
Cabbage,34.7,Peat,6.9,Growth,"Fruit Scraps, Grass Clippings, Coconut Shells"
Chili,29.0,Sand,7.7,Growth,"Alfalfa Hay, Coffee Grounds, Vegetable Scraps"
Spinach,25.7,Silt,7.5,Final,"Fruit Scraps, Coconut Shells, Corn Stalks"
Spinach,21.2,Silt,7.4,Initial,"Coconut Shells, Mulch (Wood Chips), Chicken Manure"
Cabbage,31.3,Chalk,6.6,Final,"Alfalfa Hay, Coffee Grounds, Chicken Manure"
Mango,28.7,Clay,8.0,Growth,"Fruit Scraps, Rice Husk, Mulch (Wood Chips)"
Chili,18.3,Silt,6.9,Initial,"Pea Pods, Mulch (Wood Chips), Fruit Scraps"
Lettuce,33.2,Silt,8.4,Final,"Cow Manure, Coconut Shells, Tree Leaves"
Peas,31.5,Peat,7.4,Initial,"Corn Stalks, Eggshells, Tree Leaves"
Tomato,34.0,Peat,5.9,Initial,"Worm Castings, Tree Leaves, Banana Peels"
Garlic,29.5,Loamy,7.5,Final,"Cow Manure, Worm Castings, Banana Peels"
Mango,27.3,Sand,6.5,Initial,"Mulch (Wood Chips), Compost, Eggshells"
Peas,23.4,Chalk,7.6,Final,"Seaweed Extract, Coffee Grounds, Fruit Scraps"
Watermelon,33.7,Sand,5.7,Growth,"Eggshells, Fruit Scraps, Grass Clippings"
Spinach,32.3,Loamy,6.0,Initial,"Chicken Manure, Alfalfa Hay, Corn Stalks"
Watermelon,15.9,Peat,8.1,Growth,"Banana Peels, Eggshells, Coconut Shells"
Tomato,15.5,Clay,6.2,Growth,"Cow Manure, Vegetable Scraps, Fruit Scraps"
Broccoli,22.5,Peat,8.0,Initial,"Rice Husk, Corn Stalks, Tree Leaves"
Lettuce,31.2,Chalk,6.3,Final,"Banana Peels, Fruit Scraps, Chicken Manure"
Chili,34.7,Peat,7.4,Initial,"Fish Emulsion, Eggshells, Worm Castings"
Broccoli,18.0,Chalk,7.6,Growth,"Alfalfa Hay, Worm Castings, Pea Pods"
Garlic,26.9,Chalk,7.0,Growth,"Cow Manure, Chicken Manure, Compost"
Watermelon,22.6,Chalk,6.4,Final,"Compost, Alfalfa Hay, Mulch (Wood Chips)"
Spinach,34.4,Loamy,6.1,Initial,"Alfalfa Hay, Mulch (Wood Chips), Cow Manure"
Brinjal,31.8,Chalk,5.6,Growth,"Mulch (Wood Chips), Rice Husk, Banana Peels"
Tomato,31.8,Chalk,6.4,Growth,"Worm Castings, Mulch (Wood Chips), Fruit Scraps"
Pumpkin,24.4,Clay,7.5,Growth,"Worm Castings, Chicken Manure, Compost"
Brinjal,23.3,Sand,8.3,Final,"Compost, Tree Leaves, Coconut Shells"
Watermelon,20.5,Silt,8.1,Growth,"Alfalfa Hay, Sugarcane Bagasse, Corn Stalks"
Beetroot,16.1,Sand,7.8,Growth,"Worm Castings, Corn Stalks, Eggshells"
Pumpkin,32.3,Chalk,7.9,Initial,"Cow Manure, Seaweed Extract, Coffee Grounds"
Peas,31.3,Clay,7.5,Initial,"Tree Leaves, Grass Clippings, Banana Peels"
Watermelon,35.0,Peat,6.3,Growth,"Fish Emulsion, Banana Peels, Rice Husk"
Broccoli,34.9,Clay,8.2,Growth,"Cow Manure, Worm Castings, Fish Emulsion"
Tomato,26.1,Chalk,7.5,Initial,"Alfalfa Hay, Eggshells, Rice Husk"
Lettuce,30.4,Clay,7.2,Final,"Eggshells, Tree Leaves, Alfalfa Hay"
Watermelon,33.9,Clay,5.8,Final,"Grass Clippings, Banana Peels, Mulch (Wood Chips)"
Peas,32.0,Chalk,6.8,Final,"Tree Leaves, Pea Pods, Worm Castings"
Brinjal,19.9,Loamy,6.9,Final,"Coffee Grounds, Rice Husk, Fish Emulsion"
Cucumber,24.0,Clay,8.1,Final,"Fruit Scraps, Pea Pods, Vegetable Scraps"
Lettuce,17.6,Silt,7.1,Final,"Corn Stalks, Coffee Grounds, Mulch (Wood Chips)"
Mango,34.1,Silt,6.6,Final,"Cow Manure, Fruit Scraps, Fish Emulsion"
Garlic,27.1,Clay,8.4,Final,"Fish Emulsion, Coffee Grounds, Tree Leaves"
Mango,19.6,Loamy,5.8,Initial,"Sugarcane Bagasse, Eggshells, Pea Pods"
Pumpkin,28.4,Peat,6.8,Final,"Corn Stalks, Rice Husk, Sugarcane Bagasse"
Lettuce,27.4,Chalk,5.6,Final,"Banana Peels, Worm Castings, Mulch (Wood Chips)"
Radish,22.2,Silt,7.7,Final,"Fruit Scraps, Banana Peels, Coconut Shells"
Radish,17.3,Peat,8.3,Growth,"Alfalfa Hay, Corn Stalks, Mulch (Wood Chips)"
Cabbage,28.4,Clay,6.3,Initial,"Alfalfa Hay, Chicken Manure, Seaweed Extract"
Zucchini,25.4,Peat,8.1,Initial,"Sugarcane Bagasse, Fruit Scraps, Mulch (Wood Chips)"
Chili,30.4,Sand,6.4,Initial,"Vegetable Scraps, Mulch (Wood Chips), Eggshells"
Chili,25.4,Silt,8.2,Final,"Tree Leaves, Alfalfa Hay, Cow Manure"
Watermelon,32.0,Clay,7.8,Final,"Coffee Grounds, Banana Peels, Seaweed Extract"
Peas,26.0,Chalk,7.9,Growth,"Coffee Grounds, Corn Stalks, Fruit Scraps"
Broccoli,26.2,Loamy,5.6,Initial,"Coffee Grounds, Compost, Tree Leaves"
Pumpkin,32.5,Clay,8.4,Final,"Fish Emulsion, Coffee Grounds, Banana Peels"
Potato,23.1,Chalk,7.7,Initial,"Fish Emulsion, Corn Stalks, Fruit Scraps"
Peas,17.7,Loamy,6.4,Growth,"Alfalfa Hay, Sugarcane Bagasse, Chicken Manure"
Lettuce,15.6,Loamy,8.0,Growth,"Corn Stalks, Eggshells, Grass Clippings"
Radish,30.1,Clay,6.3,Growth,"Sugarcane Bagasse, Fish Emulsion, Compost"
Zucchini,27.4,Peat,8.1,Initial,"Fruit Scraps, Fish Emulsion, Banana Peels"
Brinjal,29.1,Peat,5.8,Final,"Worm Castings, Rice Husk, Vegetable Scraps"
Carrot,19.3,Loamy,7.6,Final,"Worm Castings, Grass Clippings, Alfalfa Hay"
Beetroot,17.7,Peat,7.1,Growth,"Cow Manure, Eggshells, Sugarcane Bagasse"
Pumpkin,15.3,Sand,5.8,Final,"Tree Leaves, Pea Pods, Compost"
Chili,22.0,Loamy,6.2,Growth,"Alfalfa Hay, Worm Castings, Compost"
Zucchini,26.8,Loamy,5.5,Initial,"Coconut Shells, Worm Castings, Alfalfa Hay"
Chili,22.8,Chalk,6.9,Growth,"Seaweed Extract, Fish Emulsion, Rice Husk"
Tomato,23.7,Peat,6.4,Initial,"Cow Manure, Banana Peels, Tree Leaves"
Cucumber,33.1,Loamy,7.3,Growth,"Sugarcane Bagasse, Mulch (Wood Chips), Fish Emulsion"
Onion,22.0,Sand,6.4,Final,"Grass Clippings, Banana Peels, Seaweed Extract"
Potato,25.3,Chalk,6.4,Final,"Tree Leaves, Seaweed Extract, Alfalfa Hay"
Garlic,30.7,Clay,7.7,Growth,"Sugarcane Bagasse, Vegetable Scraps, Mulch (Wood Chips)"
Spinach,22.9,Loamy,5.6,Final,"Pea Pods, Coffee Grounds, Coconut Shells"
Carrot,27.4,Sand,8.2,Final,"Corn Stalks, Coconut Shells, Grass Clippings"
Potato,32.2,Silt,8.1,Final,"Coffee Grounds, Vegetable Scraps, Compost"
Radish,34.0,Sand,7.5,Initial,"Coconut Shells, Compost, Rice Husk"
Cabbage,17.9,Sand,7.3,Final,"Cow Manure, Chicken Manure, Vegetable Scraps"
Tomato,33.5,Chalk,8.2,Initial,"Rice Husk, Banana Peels, Seaweed Extract"
Potato,24.8,Clay,6.1,Growth,"Coconut Shells, Coffee Grounds, Eggshells"
Garlic,20.2,Silt,5.7,Final,"Corn Stalks, Fish Emulsion, Fruit Scraps"
Radish,24.2,Peat,6.2,Final,"Alfalfa Hay, Fruit Scraps, Mulch (Wood Chips)"
Garlic,34.6,Peat,7.9,Final,"Alfalfa Hay, Fruit Scraps, Coffee Grounds"
Lettuce,24.9,Sand,5.6,Growth,"Vegetable Scraps, Grass Clippings, Compost"
Radish,21.6,Chalk,7.2,Initial,"Eggshells, Chicken Manure, Seaweed Extract"
Mango,27.7,Chalk,8.5,Initial,"Rice Husk, Corn Stalks, Cow Manure"
Broccoli,19.8,Peat,8.1,Final,"Tree Leaves, Compost, Alfalfa Hay"
Watermelon,16.5,Silt,7.1,Growth,"Pea Pods, Coffee Grounds, Grass Clippings"
Brinjal,17.6,Clay,5.7,Growth,"Banana Peels, Corn Stalks, Pea Pods"
Cucumber,17.6,Silt,8.0,Growth,"Sugarcane Bagasse, Compost, Corn Stalks"
Cabbage,18.0,Loamy,7.3,Growth,"Banana Peels, Coconut Shells, Cow Manure"
Lettuce,17.8,Loamy,5.8,Growth,"Grass Clippings, Tree Leaves, Corn Stalks"
Mango,27.8,Clay,5.8,Initial,"Chicken Manure, Mulch (Wood Chips), Tree Leaves"
Tomato,18.6,Peat,8.2,Initial,"Seaweed Extract, Fish Emulsion, Tree Leaves"
Cucumber,21.9,Clay,7.5,Initial,"Chicken Manure, Banana Peels, Rice Husk"
Carrot,32.9,Chalk,8.0,Final,"Sugarcane Bagasse, Corn Stalks, Compost"
Broccoli,24.5,Loamy,8.1,Growth,"Chicken Manure, Vegetable Scraps, Fruit Scraps"
Cucumber,28.4,Sand,7.2,Final,"Alfalfa Hay, Coffee Grounds, Compost"
Lettuce,18.4,Sand,7.1,Growth,"Grass Clippings, Banana Peels, Fruit Scraps"
Pumpkin,18.8,Peat,6.8,Initial,"Cow Manure, Chicken Manure, Mulch (Wood Chips)"
Peas,15.8,Chalk,6.5,Final,"Banana Peels, Eggshells, Grass Clippings"
Mango,18.4,Silt,6.8,Initial,"Seaweed Extract, Fish Emulsion, Pea Pods"
Potato,20.6,Chalk,7.8,Growth,"Seaweed Extract, Vegetable Scraps, Tree Leaves"
Beetroot,18.5,Sand,7.3,Growth,"Sugarcane Bagasse, Worm Castings, Corn Stalks"
Pumpkin,16.8,Sand,8.2,Growth,"Tree Leaves, Grass Clippings, Eggshells"
Tomato,17.4,Loamy,6.8,Initial,"Compost, Chicken Manure, Fruit Scraps"
Onion,24.2,Chalk,7.3,Growth,"Seaweed Extract, Tree Leaves, Cow Manure"
Peas,19.1,Chalk,7.4,Initial,"Seaweed Extract, Grass Clippings, Sugarcane Bagasse"
Radish,22.3,Sand,7.3,Final,"Sugarcane Bagasse, Coconut Shells, Mulch (Wood Chips)"
Spinach,25.1,Silt,7.6,Growth,"Alfalfa Hay, Mulch (Wood Chips), Sugarcane Bagasse"
Potato,28.8,Peat,6.2,Growth,"Alfalfa Hay, Cow Manure, Chicken Manure"
Mango,15.8,Peat,7.0,Growth,"Pea Pods, Rice Husk, Fruit Scraps"
Carrot,31.0,Chalk,5.8,Final,"Grass Clippings, Fish Emulsion, Alfalfa Hay"
Watermelon,27.6,Peat,6.7,Growth,"Sugarcane Bagasse, Chicken Manure, Vegetable Scraps"
Radish,16.6,Sand,7.0,Initial,"Fruit Scraps, Seaweed Extract, Rice Husk"
Potato,32.5,Sand,7.5,Initial,"Seaweed Extract, Compost, Fruit Scraps"
Onion,33.4,Chalk,8.4,Growth,"Alfalfa Hay, Pea Pods, Tree Leaves"
Chili,16.2,Chalk,7.3,Growth,"Vegetable Scraps, Fish Emulsion, Rice Husk"
Radish,20.5,Loamy,7.7,Final,"Chicken Manure, Sugarcane Bagasse, Corn Stalks"
Spinach,31.1,Chalk,7.0,Final,"Alfalfa Hay, Coconut Shells, Sugarcane Bagasse"
Potato,30.0,Silt,7.4,Final,"Worm Castings, Rice Husk, Grass Clippings"
Brinjal,18.7,Peat,5.7,Growth,"Pea Pods, Corn Stalks, Coconut Shells"
Watermelon,19.2,Chalk,6.3,Final,"Grass Clippings, Rice Husk, Alfalfa Hay"
Beetroot,22.4,Clay,6.6,Final,"Seaweed Extract, Mulch (Wood Chips), Chicken Manure"
Potato,24.7,Loamy,6.9,Initial,"Mulch (Wood Chips), Pea Pods, Fruit Scraps"
Watermelon,27.4,Clay,5.6,Final,"Alfalfa Hay, Vegetable Scraps, Seaweed Extract"
Chili,22.4,Sand,5.9,Initial,"Banana Peels, Corn Stalks, Cow Manure"
Tomato,24.3,Peat,6.3,Initial,"Compost, Sugarcane Bagasse, Eggshells"
Cabbage,29.9,Chalk,8.4,Final,"Seaweed Extract, Fish Emulsion, Grass Clippings"
Cucumber,15.7,Clay,6.5,Initial,"Seaweed Extract, Chicken Manure, Grass Clippings"
Mango,20.0,Peat,6.9,Growth,"Alfalfa Hay, Coconut Shells, Tree Leaves"
Radish,29.3,Sand,6.1,Growth,"Grass Clippings, Cow Manure, Chicken Manure"
Tomato,32.9,Silt,7.3,Final,"Corn Stalks, Worm Castings, Seaweed Extract"
Mango,25.2,Loamy,6.3,Growth,"Fish Emulsion, Sugarcane Bagasse, Corn Stalks"
Mango,25.6,Peat,6.1,Initial,"Chicken Manure, Fish Emulsion, Rice Husk"
Garlic,17.1,Peat,7.0,Growth,"Chicken Manure, Sugarcane Bagasse, Cow Manure"
Onion,23.9,Silt,5.5,Final,"Eggshells, Fish Emulsion, Corn Stalks"
Pumpkin,25.7,Peat,5.5,Final,"Worm Castings, Corn Stalks, Pea Pods"
Lettuce,19.8,Sand,6.2,Initial,"Eggshells, Grass Clippings, Pea Pods"
Radish,20.4,Sand,5.6,Final,"Seaweed Extract, Mulch (Wood Chips), Coconut Shells"
Beetroot,22.5,Silt,5.8,Growth,"Banana Peels, Worm Castings, Alfalfa Hay"
Cabbage,15.4,Loamy,6.5,Final,"Fish Emulsion, Sugarcane Bagasse, Grass Clippings"
Brinjal,21.4,Chalk,7.9,Initial,"Compost, Coffee Grounds, Fruit Scraps"
Chili,19.2,Clay,7.2,Final,"Tree Leaves, Compost, Chicken Manure"
Zucchini,21.5,Chalk,7.0,Growth,"Grass Clippings, Corn Stalks, Fruit Scraps"
Broccoli,17.4,Peat,6.4,Initial,"Pea Pods, Worm Castings, Cow Manure"
Cabbage,32.8,Clay,8.3,Growth,"Alfalfa Hay, Rice Husk, Vegetable Scraps"
Watermelon,26.9,Silt,6.7,Initial,"Chicken Manure, Rice Husk, Banana Peels"
Onion,28.6,Silt,5.8,Final,"Coconut Shells, Coffee Grounds, Fish Emulsion"
Tomato,30.8,Loamy,7.4,Initial,"Rice Husk, Worm Castings, Coconut Shells"
Watermelon,25.0,Clay,5.8,Initial,"Fruit Scraps, Seaweed Extract, Vegetable Scraps"
Cauliflower,16.7,Sand,6.5,Final,"Alfalfa Hay, Cow Manure, Eggshells"
Lettuce,25.7,Clay,7.0,Growth,"Fish Emulsion, Chicken Manure, Corn Stalks"
Zucchini,26.7,Peat,8.1,Final,"Tree Leaves, Compost, Vegetable Scraps"
Brinjal,29.9,Sand,7.0,Initial,"Alfalfa Hay, Pea Pods, Mulch (Wood Chips)"
Cucumber,23.6,Silt,7.6,Final,"Fruit Scraps, Coconut Shells, Rice Husk"
Onion,17.6,Clay,8.5,Initial,"Eggshells, Coconut Shells, Cow Manure"
Watermelon,20.7,Chalk,5.9,Final,"Sugarcane Bagasse, Rice Husk, Coffee Grounds"
Cucumber,22.3,Loamy,6.3,Final,"Compost, Mulch (Wood Chips), Vegetable Scraps"
Lettuce,27.9,Chalk,6.7,Growth,"Vegetable Scraps, Sugarcane Bagasse, Worm Castings"
Pumpkin,26.4,Loamy,6.8,Initial,"Rice Husk, Alfalfa Hay, Pea Pods"
Lettuce,22.1,Peat,6.7,Growth,"Tree Leaves, Coffee Grounds, Alfalfa Hay"
Beetroot,34.7,Chalk,8.2,Initial,"Sugarcane Bagasse, Mulch (Wood Chips), Worm Castings"
Garlic,27.1,Clay,7.6,Final,"Eggshells, Fruit Scraps, Cow Manure"
Tomato,19.7,Clay,7.3,Initial,"Fruit Scraps, Worm Castings, Tree Leaves"
Pumpkin,17.0,Chalk,6.4,Growth,"Pea Pods, Coffee Grounds, Vegetable Scraps"
Peas,18.1,Clay,8.0,Growth,"Coconut Shells, Fish Emulsion, Corn Stalks"
Mango,19.9,Peat,8.4,Growth,"Alfalfa Hay, Chicken Manure, Cow Manure"
Broccoli,18.2,Sand,8.0,Initial,"Sugarcane Bagasse, Rice Husk, Coconut Shells"
Brinjal,18.7,Peat,5.5,Growth,"Worm Castings, Pea Pods, Mulch (Wood Chips)"
Cabbage,20.7,Loamy,7.4,Growth,"Coconut Shells, Worm Castings, Chicken Manure"
Beetroot,18.5,Peat,5.7,Growth,"Seaweed Extract, Worm Castings, Compost"
Peas,32.9,Loamy,6.3,Final,"Corn Stalks, Chicken Manure, Vegetable Scraps"
Onion,16.6,Clay,5.7,Final,"Worm Castings, Banana Peels, Compost"
Lettuce,25.5,Sand,7.3,Initial,"Eggshells, Corn Stalks, Banana Peels"
Pumpkin,23.2,Clay,7.6,Initial,"Mulch (Wood Chips), Cow Manure, Worm Castings"
Cauliflower,34.6,Silt,5.8,Growth,"Pea Pods, Fruit Scraps, Banana Peels"
Garlic,17.2,Clay,6.7,Final,"Compost, Grass Clippings, Rice Husk"
Cabbage,23.0,Loamy,6.9,Growth,"Coconut Shells, Pea Pods, Grass Clippings"
Peas,34.4,Clay,6.6,Growth,"Worm Castings, Banana Peels, Vegetable Scraps"
Chili,32.3,Clay,5.9,Final,"Cow Manure, Rice Husk, Banana Peels"
Onion,31.3,Sand,6.8,Final,"Corn Stalks, Alfalfa Hay, Fruit Scraps"
Brinjal,20.2,Clay,7.8,Final,"Seaweed Extract, Grass Clippings, Compost"
Cucumber,18.4,Sand,5.7,Initial,"Tree Leaves, Banana Peels, Mulch (Wood Chips)"
Zucchini,28.4,Chalk,5.7,Initial,"Pea Pods, Corn Stalks, Vegetable Scraps"
Chili,33.6,Silt,6.6,Growth,"Vegetable Scraps, Banana Peels, Seaweed Extract"
Garlic,26.1,Sand,8.3,Initial,"Alfalfa Hay, Eggshells, Coffee Grounds"
Brinjal,26.4,Loamy,7.5,Final,"Vegetable Scraps, Sugarcane Bagasse, Coffee Grounds"
Pumpkin,20.6,Chalk,7.5,Final,"Alfalfa Hay, Chicken Manure, Coconut Shells"
Carrot,30.4,Sand,6.6,Initial,"Coffee Grounds, Tree Leaves, Corn Stalks"
Spinach,18.7,Sand,7.3,Growth,"Fruit Scraps, Coconut Shells, Corn Stalks"
Onion,21.5,Silt,5.5,Growth,"Pea Pods, Corn Stalks, Eggshells"
Mango,23.5,Loamy,7.4,Initial,"Chicken Manure, Vegetable Scraps, Banana Peels"
Cauliflower,25.2,Peat,8.2,Growth,"Grass Clippings, Sugarcane Bagasse, Rice Husk"
Radish,19.8,Peat,7.3,Growth,"Compost, Grass Clippings, Eggshells"
Tomato,17.3,Sand,8.1,Growth,"Coffee Grounds, Mulch (Wood Chips), Compost"
Pumpkin,27.2,Clay,7.7,Final,"Tree Leaves, Vegetable Scraps, Seaweed Extract"
Potato,20.8,Loamy,5.9,Final,"Eggshells, Corn Stalks, Fish Emulsion"
Lettuce,26.6,Chalk,8.2,Initial,"Grass Clippings, Mulch (Wood Chips), Sugarcane Bagasse"
Broccoli,18.1,Clay,5.7,Final,"Coconut Shells, Grass Clippings, Fish Emulsion"
Cucumber,24.6,Clay,7.1,Growth,"Banana Peels, Eggshells, Fish Emulsion"
Lettuce,25.7,Loamy,5.9,Final,"Rice Husk, Banana Peels, Corn Stalks"
Chili,16.0,Sand,5.5,Initial,"Mulch (Wood Chips), Chicken Manure, Sugarcane Bagasse"
Broccoli,21.7,Sand,6.8,Final,"Corn Stalks, Fruit Scraps, Banana Peels"
Watermelon,17.7,Sand,6.4,Growth,"Compost, Fruit Scraps, Banana Peels"
Spinach,16.3,Sand,7.0,Growth,"Worm Castings, Sugarcane Bagasse, Chicken Manure"
Peas,34.8,Peat,7.2,Initial,"Cow Manure, Alfalfa Hay, Pea Pods"
Lettuce,21.4,Sand,5.6,Final,"Corn Stalks, Worm Castings, Banana Peels"
Potato,31.2,Peat,5.9,Final,"Coconut Shells, Fruit Scraps, Alfalfa Hay"
Cucumber,20.1,Peat,7.2,Final,"Corn Stalks, Cow Manure, Coffee Grounds"
Beetroot,28.6,Sand,6.5,Growth,"Chicken Manure, Coconut Shells, Corn Stalks"
Chili,30.2,Silt,7.7,Initial,"Compost, Seaweed Extract, Corn Stalks"
Broccoli,26.9,Chalk,7.5,Final,"Banana Peels, Chicken Manure, Corn Stalks"
Chili,24.4,Clay,8.0,Growth,"Sugarcane Bagasse, Coffee Grounds, Corn Stalks"
Carrot,23.2,Peat,7.6,Growth,"Coffee Grounds, Banana Peels, Seaweed Extract"
Potato,22.0,Loamy,6.8,Growth,"Eggshells, Fish Emulsion, Coffee Grounds"
Peas,33.6,Loamy,7.5,Final,"Fish Emulsion, Fruit Scraps, Mulch (Wood Chips)"
Chili,31.6,Chalk,6.3,Final,"Compost, Sugarcane Bagasse, Vegetable Scraps"
Tomato,34.3,Loamy,6.4,Final,"Grass Clippings, Eggshells, Banana Peels"
Tomato,17.5,Silt,7.9,Final,"Pea Pods, Seaweed Extract, Tree Leaves"
Broccoli,29.6,Loamy,6.8,Final,"Coconut Shells, Tree Leaves, Banana Peels"
Cabbage,33.8,Clay,7.9,Final,"Seaweed Extract, Compost, Fish Emulsion"
Lettuce,18.6,Clay,8.0,Final,"Coffee Grounds, Fish Emulsion, Sugarcane Bagasse"
Carrot,16.3,Peat,8.1,Final,"Coffee Grounds, Alfalfa Hay, Compost"
Chili,29.8,Sand,8.2,Final,"Banana Peels, Tree Leaves, Coffee Grounds"
Lettuce,26.5,Silt,6.8,Growth,"Coconut Shells, Mulch (Wood Chips), Grass Clippings"
Tomato,31.8,Peat,6.5,Final,"Rice Husk, Coconut Shells, Alfalfa Hay"
Radish,17.8,Silt,7.2,Initial,"Grass Clippings, Fruit Scraps, Chicken Manure"
Spinach,30.9,Sand,6.6,Growth,"Pea Pods, Coconut Shells, Fruit Scraps"
Broccoli,19.0,Loamy,7.3,Final,"Banana Peels, Fruit Scraps, Corn Stalks"
Brinjal,18.3,Loamy,7.6,Initial,"Chicken Manure, Vegetable Scraps, Fish Emulsion"
Tomato,18.3,Sand,7.6,Final,"Mulch (Wood Chips), Sugarcane Bagasse, Alfalfa Hay"
Spinach,31.3,Peat,6.6,Initial,"Fish Emulsion, Sugarcane Bagasse, Mulch (Wood Chips)"
Garlic,28.3,Sand,6.0,Initial,"Worm Castings, Vegetable Scraps, Fish Emulsion"
Chili,25.5,Chalk,6.8,Initial,"Seaweed Extract, Pea Pods, Worm Castings"
Brinjal,22.2,Clay,5.9,Initial,"Rice Husk, Corn Stalks, Coffee Grounds"
Garlic,32.5,Peat,8.2,Growth,"Cow Manure, Alfalfa Hay, Fruit Scraps"
Pumpkin,22.8,Silt,6.5,Growth,"Coconut Shells, Fish Emulsion, Sugarcane Bagasse"
Beetroot,31.3,Chalk,6.0,Initial,"Corn Stalks, Compost, Fish Emulsion"
Pumpkin,23.8,Peat,5.6,Final,"Eggshells, Coconut Shells, Chicken Manure"
Beetroot,22.5,Sand,7.4,Initial,"Sugarcane Bagasse, Compost, Fish Emulsion"
Brinjal,24.3,Sand,7.4,Growth,"Coffee Grounds, Compost, Cow Manure"
Onion,21.0,Sand,6.5,Final,"Eggshells, Coconut Shells, Banana Peels"
Pumpkin,30.0,Sand,5.7,Growth,"Fish Emulsion, Pea Pods, Worm Castings"
Cabbage,25.1,Silt,6.7,Growth,"Sugarcane Bagasse, Chicken Manure, Fruit Scraps"
Beetroot,19.6,Chalk,6.4,Final,"Fruit Scraps, Rice Husk, Fish Emulsion"
Pumpkin,33.0,Loamy,7.5,Initial,"Banana Peels, Fish Emulsion, Corn Stalks"
Beetroot,22.7,Clay,7.3,Initial,"Grass Clippings, Fruit Scraps, Rice Husk"
Tomato,25.9,Silt,6.6,Initial,"Eggshells, Cow Manure, Fish Emulsion"
Pumpkin,33.1,Silt,6.2,Initial,"Worm Castings, Chicken Manure, Cow Manure"
