Plant Name,Soil Type,Temperature,Moisture,Rainfall,Growth Time,Growth Stage,Compost Waste Recommendations,Compost C:N Ratio,Compost Moisture Content,Compost Nitrogen Content,Compost pH Level
Pumpkin,Loamy,21,76,178,46,Initial Stage,"Alfalfa Hay, Compost, Eggshells",25:1,60%,1.5%,6.0
Tomato,Clay,34,41,41,41,Initial Stage,"Eggshells, Fish Emulsion, Rice Husk",25:1,60%,1.5%,6.0
Radish,Loamy,29,38,14,179,Final Stage,"Worm Castings, Tree Leaves, Vegetable Scraps",35:1,50%,2.5%,6.5
Zucchini,Loamy,25,39,110,174,Final Stage,"Chicken Manure, Vegetable Scraps, Tree Leaves",35:1,50%,2.5%,6.5
Pumpkin,Sandy,22,73,156,167,Final Stage,"Coffee Grounds, Eggshells, Seaweed Extract",35:1,50%,2.5%,6.5
Chili,Loamy,21,46,288,147,Final Stage,"Eggshells, Banana Peels, Grass Clippings",35:1,50%,2.5%,6.5
Potato,Clay,33,67,230,51,Initial Stage,"Coffee Grounds, Compost, Seaweed Extract",25:1,60%,1.5%,6.0
Brinjal,Loamy,25,36,156,149,Final Stage,"Vegetable Scraps, Compost, Alfalfa Hay",35:1,50%,2.5%,6.5
Tomato,Sandy,25,75,37,79,Final Stage,"Fish Emulsion, Rice Husk, Chicken Manure",35:1,50%,2.5%,6.5
Pumpkin,Sandy,18,42,96,43,Final Stage,"Alfalfa Hay, Mulch (Wood Chips), Seaweed Extract",35:1,50%,2.5%,6.5
Mango,Clay,22,69,288,58,Initial Stage,"Corn Stalks, Tree Leaves, Coffee Grounds",25:1,60%,1.5%,6.0
Watermelon,Sandy,17,71,253,154,Final Stage,"Rice Husk, Coconut Shells, Coffee Grounds",35:1,50%,2.5%,6.5
Zucchini,Loamy,16,38,195,36,Final Stage,"Rice Husk, Vegetable Scraps, Fruit Scraps",35:1,50%,2.5%,6.5
Garlic,Sandy,26,79,85,58,Initial Stage,"Coffee Grounds, Banana Peels, Compost",25:1,60%,1.5%,6.0
Chili,Clay,20,56,9,168,Final Stage,"Vegetable Scraps, Rice Husk, Coffee Grounds",35:1,50%,2.5%,6.5
Chili,Sandy,16,31,4,62,Final Stage,"Fruit Scraps, Vegetable Scraps, Coconut Shells",35:1,50%,2.5%,6.5
Mango,Sandy,15,34,122,163,Final Stage,"Vegetable Scraps, Worm Castings, Corn Stalks",35:1,50%,2.5%,6.5
Chili,Sandy,26,58,117,140,Final Stage,"Grass Clippings, Rice Husk, Sugarcane Bagasse",35:1,50%,2.5%,6.5
Cucumber,Clay,26,66,293,108,Growth Stage,"Fruit Scraps, Eggshells, Corn Stalks",30:1,55%,2.0%,6.2
Potato,Sandy,31,67,158,87,Growth Stage,"Tree Leaves, Corn Stalks, Sugarcane Bagasse",30:1,55%,2.0%,6.2
Beetroot,Sandy,24,48,227,55,Initial Stage,"Worm Castings, Alfalfa Hay, Sugarcane Bagasse",25:1,60%,1.5%,6.0
Peas,Loamy,30,37,215,58,Growth Stage,"Coffee Grounds, Alfalfa Hay, Pea Pods",30:1,55%,2.0%,6.2
Garlic,Clay,29,77,183,33,Initial Stage,"Cow Manure, Rice Husk, Worm Castings",25:1,60%,1.5%,6.0
Onion,Sandy,29,74,14,128,Final Stage,"Compost, Eggshells, Mulch (Wood Chips)",35:1,50%,2.5%,6.5
Zucchini,Clay,33,30,156,170,Final Stage,"Corn Stalks, Pea Pods, Grass Clippings",35:1,50%,2.5%,6.5
Lettuce,Sandy,26,51,135,68,Growth Stage,"Rice Husk, Vegetable Scraps, Coffee Grounds",30:1,55%,2.0%,6.2
Radish,Sandy,34,46,260,44,Initial Stage,"Pea Pods, Fish Emulsion, Cow Manure",25:1,60%,1.5%,6.0
Cabbage,Sandy,17,36,156,148,Final Stage,"Coconut Shells, Corn Stalks, Rice Husk",35:1,50%,2.5%,6.5
Brinjal,Loamy,19,54,46,58,Final Stage,"Tree Leaves, Fruit Scraps, Corn Stalks",35:1,50%,2.5%,6.5
Potato,Loamy,33,74,172,104,Growth Stage,"Rice Husk, Eggshells, Grass Clippings",30:1,55%,2.0%,6.2
Pumpkin,Loamy,21,33,129,145,Final Stage,"Chicken Manure, Fish Emulsion, Corn Stalks",35:1,50%,2.5%,6.5
Brinjal,Clay,23,65,94,61,Growth Stage,"Rice Husk, Chicken Manure, Banana Peels",30:1,55%,2.0%,6.2
Mango,Clay,21,35,114,159,Final Stage,"Cow Manure, Vegetable Scraps, Tree Leaves",35:1,50%,2.5%,6.5
Pumpkin,Loamy,32,60,242,113,Growth Stage,"Fruit Scraps, Coffee Grounds, Banana Peels",30:1,55%,2.0%,6.2
Brinjal,Clay,18,48,291,51,Final Stage,"Pea Pods, Coconut Shells, Cow Manure",35:1,50%,2.5%,6.5
Broccoli,Sandy,28,73,281,56,Initial Stage,"Grass Clippings, Worm Castings, Mulch (Wood Chips)",25:1,60%,1.5%,6.0
Broccoli,Sandy,32,68,298,110,Growth Stage,"Corn Stalks, Coffee Grounds, Mulch (Wood Chips)",30:1,55%,2.0%,6.2
Lettuce,Sandy,23,56,282,155,Final Stage,"Pea Pods, Fruit Scraps, Banana Peels",35:1,50%,2.5%,6.5
Cabbage,Loamy,16,39,68,121,Final Stage,"Compost, Seaweed Extract, Fruit Scraps",35:1,50%,2.5%,6.5
Cucumber,Clay,34,55,147,50,Initial Stage,"Vegetable Scraps, Corn Stalks, Chicken Manure",25:1,60%,1.5%,6.0
Broccoli,Loamy,29,48,10,76,Final Stage,"Cow Manure, Worm Castings, Banana Peels",35:1,50%,2.5%,6.5
Onion,Clay,21,68,253,130,Final Stage,"Vegetable Scraps, Coconut Shells, Mulch (Wood Chips)",35:1,50%,2.5%,6.5
Onion,Sandy,26,32,37,113,Final Stage,"Eggshells, Chicken Manure, Cow Manure",35:1,50%,2.5%,6.5
Zucchini,Loamy,22,74,133,35,Initial Stage,"Sugarcane Bagasse, Compost, Corn Stalks",25:1,60%,1.5%,6.0
Pumpkin,Clay,29,42,199,176,Final Stage,"Seaweed Extract, Vegetable Scraps, Fish Emulsion",35:1,50%,2.5%,6.5
Lettuce,Clay,17,79,22,160,Final Stage,"Coffee Grounds, Vegetable Scraps, Eggshells",35:1,50%,2.5%,6.5
Onion,Sandy,28,57,217,30,Initial Stage,"Rice Husk, Fruit Scraps, Pea Pods",25:1,60%,1.5%,6.0
Watermelon,Loamy,31,49,140,87,Growth Stage,"Mulch (Wood Chips), Eggshells, Sugarcane Bagasse",30:1,55%,2.0%,6.2
Mango,Loamy,18,57,103,153,Final Stage,"Coconut Shells, Fish Emulsion, Worm Castings",35:1,50%,2.5%,6.5
Watermelon,Loamy,32,37,209,44,Growth Stage,"Alfalfa Hay, Coconut Shells, Fruit Scraps",30:1,55%,2.0%,6.2
Beetroot,Sandy,22,70,110,93,Growth Stage,"Banana Peels, Coconut Shells, Rice Husk",30:1,55%,2.0%,6.2
Beetroot,Loamy,18,68,103,54,Final Stage,"Coffee Grounds, Chicken Manure, Alfalfa Hay",35:1,50%,2.5%,6.5
Radish,Sandy,16,30,170,53,Final Stage,"Fish Emulsion, Seaweed Extract, Cow Manure",35:1,50%,2.5%,6.5
Cabbage,Sandy,20,32,132,41,Growth Stage,"Compost, Coffee Grounds, Eggshells",30:1,55%,2.0%,6.2
Tomato,Sandy,24,42,292,47,Initial Stage,"Cow Manure, Pea Pods, Seaweed Extract",25:1,60%,1.5%,6.0
Watermelon,Clay,18,57,126,44,Final Stage,"Banana Peels, Sugarcane Bagasse, Seaweed Extract",35:1,50%,2.5%,6.5
Mango,Loamy,32,78,105,56,Initial Stage,"Cow Manure, Seaweed Extract, Tree Leaves",25:1,60%,1.5%,6.0
Peas,Loamy,26,54,91,101,Growth Stage,"Cow Manure, Fruit Scraps, Tree Leaves",30:1,55%,2.0%,6.2
Cucumber,Sandy,16,62,286,89,Final Stage,"Pea Pods, Vegetable Scraps, Worm Castings",35:1,50%,2.5%,6.5
Cauliflower,Sandy,24,67,50,174,Final Stage,"Tree Leaves, Chicken Manure, Rice Husk",35:1,50%,2.5%,6.5
Zucchini,Loamy,18,35,28,122,Final Stage,"Fruit Scraps, Eggshells, Chicken Manure",35:1,50%,2.5%,6.5
Watermelon,Sandy,28,73,295,82,Growth Stage,"Tree Leaves, Eggshells, Coconut Shells",30:1,55%,2.0%,6.2
Cauliflower,Loamy,30,74,296,37,Initial Stage,"Fish Emulsion, Sugarcane Bagasse, Compost",25:1,60%,1.5%,6.0
Lettuce,Clay,29,61,213,108,Growth Stage,"Tree Leaves, Cow Manure, Coffee Grounds",30:1,55%,2.0%,6.2
Beetroot,Sandy,22,74,266,56,Initial Stage,"Pea Pods, Worm Castings, Fruit Scraps",25:1,60%,1.5%,6.0
Cabbage,Loamy,28,76,256,79,Growth Stage,"Vegetable Scraps, Eggshells, Grass Clippings",30:1,55%,2.0%,6.2
Cucumber,Sandy,22,50,100,160,Final Stage,"Mulch (Wood Chips), Chicken Manure, Corn Stalks",35:1,50%,2.5%,6.5
Lettuce,Loamy,30,45,109,122,Final Stage,"Compost, Vegetable Scraps, Rice Husk",35:1,50%,2.5%,6.5
Garlic,Loamy,27,50,181,53,Initial Stage,"Fruit Scraps, Sugarcane Bagasse, Corn Stalks",25:1,60%,1.5%,6.0
Garlic,Sandy,32,40,0,89,Final Stage,"Banana Peels, Seaweed Extract, Coconut Shells",35:1,50%,2.5%,6.5
Lettuce,Clay,29,66,54,151,Final Stage,"Eggshells, Sugarcane Bagasse, Chicken Manure",35:1,50%,2.5%,6.5
Brinjal,Loamy,27,65,148,160,Final Stage,"Chicken Manure, Sugarcane Bagasse, Corn Stalks",35:1,50%,2.5%,6.5
Mango,Loamy,23,64,136,177,Final Stage,"Fruit Scraps, Rice Husk, Eggshells",35:1,50%,2.5%,6.5
Cauliflower,Loamy,29,48,201,75,Growth Stage,"Compost, Fish Emulsion, Vegetable Scraps",30:1,55%,2.0%,6.2
Peas,Clay,27,49,116,44,Initial Stage,"Corn Stalks, Vegetable Scraps, Tree Leaves",25:1,60%,1.5%,6.0
Brinjal,Clay,15,47,153,46,Final Stage,"Coconut Shells, Alfalfa Hay, Coffee Grounds",35:1,50%,2.5%,6.5
Watermelon,Sandy,21,76,290,155,Final Stage,"Rice Husk, Fruit Scraps, Chicken Manure",35:1,50%,2.5%,6.5
Potato,Clay,23,70,62,113,Growth Stage,"Worm Castings, Banana Peels, Compost",30:1,55%,2.0%,6.2
Zucchini,Sandy,15,78,243,38,Final Stage,"Coconut Shells, Worm Castings, Chicken Manure",35:1,50%,2.5%,6.5
Radish,Sandy,26,43,24,92,Final Stage,"Fruit Scraps, Compost, Coffee Grounds",35:1,50%,2.5%,6.5
Potato,Clay,22,44,89,146,Final Stage,"Coffee Grounds, Worm Castings, Alfalfa Hay",35:1,50%,2.5%,6.5
Watermelon,Sandy,25,60,74,159,Final Stage,"Mulch (Wood Chips), Grass Clippings, Pea Pods",35:1,50%,2.5%,6.5
Radish,Clay,33,30,293,117,Growth Stage,"Rice Husk, Cow Manure, Fruit Scraps",30:1,55%,2.0%,6.2
Tomato,Sandy,31,32,209,101,Growth Stage,"Fish Emulsion, Eggshells, Alfalfa Hay",30:1,55%,2.0%,6.2
Beetroot,Clay,22,45,16,168,Final Stage,"Worm Castings, Tree Leaves, Chicken Manure",35:1,50%,2.5%,6.5
Mango,Clay,17,52,127,93,Final Stage,"Seaweed Extract, Compost, Banana Peels",35:1,50%,2.5%,6.5
Chili,Sandy,17,40,250,101,Final Stage,"Fruit Scraps, Corn Stalks, Pea Pods",35:1,50%,2.5%,6.5
Radish,Loamy,15,41,178,50,Final Stage,"Cow Manure, Tree Leaves, Eggshells",35:1,50%,2.5%,6.5
Potato,Sandy,19,39,181,47,Final Stage,"Rice Husk, Pea Pods, Mulch (Wood Chips)",35:1,50%,2.5%,6.5
Zucchini,Clay,24,61,151,93,Growth Stage,"Rice Husk, Fruit Scraps, Eggshells",30:1,55%,2.0%,6.2
Chili,Loamy,21,45,24,111,Final Stage,"Coconut Shells, Banana Peels, Compost",35:1,50%,2.5%,6.5
Garlic,Sandy,23,37,179,139,Final Stage,"Worm Castings, Eggshells, Pea Pods",35:1,50%,2.5%,6.5
Beetroot,Sandy,21,67,197,124,Final Stage,"Coffee Grounds, Banana Peels, Grass Clippings",35:1,50%,2.5%,6.5
Lettuce,Sandy,23,41,160,61,Growth Stage,"Vegetable Scraps, Fruit Scraps, Alfalfa Hay",30:1,55%,2.0%,6.2
Cauliflower,Loamy,22,53,176,40,Initial Stage,"Eggshells, Coconut Shells, Grass Clippings",25:1,60%,1.5%,6.0
Cucumber,Clay,26,57,284,74,Growth Stage,"Vegetable Scraps, Rice Husk, Worm Castings",30:1,55%,2.0%,6.2
Onion,Sandy,16,37,62,62,Final Stage,"Grass Clippings, Sugarcane Bagasse, Coconut Shells",35:1,50%,2.5%,6.5
Radish,Sandy,15,57,149,131,Final Stage,"Vegetable Scraps, Corn Stalks, Eggshells",35:1,50%,2.5%,6.5
Onion,Sandy,30,65,153,165,Final Stage,"Chicken Manure, Fish Emulsion, Coconut Shells",35:1,50%,2.5%,6.5
Cabbage,Sandy,19,55,155,40,Final Stage,"Fruit Scraps, Chicken Manure, Coffee Grounds",35:1,50%,2.5%,6.5
Onion,Sandy,17,37,48,117,Final Stage,"Vegetable Scraps, Seaweed Extract, Eggshells",35:1,50%,2.5%,6.5
Pumpkin,Clay,26,79,83,70,Growth Stage,"Sugarcane Bagasse, Pea Pods, Seaweed Extract",30:1,55%,2.0%,6.2
Broccoli,Clay,22,57,176,174,Final Stage,"Cow Manure, Sugarcane Bagasse, Worm Castings",35:1,50%,2.5%,6.5
Broccoli,Sandy,17,57,147,105,Final Stage,"Vegetable Scraps, Coffee Grounds, Alfalfa Hay",35:1,50%,2.5%,6.5
Cauliflower,Loamy,15,66,117,150,Final Stage,"Mulch (Wood Chips), Pea Pods, Chicken Manure",35:1,50%,2.5%,6.5
Peas,Clay,17,70,62,75,Final Stage,"Banana Peels, Pea Pods, Coconut Shells",35:1,50%,2.5%,6.5
Tomato,Loamy,19,65,188,109,Final Stage,"Cow Manure, Chicken Manure, Eggshells",35:1,50%,2.5%,6.5
Radish,Clay,29,56,48,83,Final Stage,"Vegetable Scraps, Seaweed Extract, Worm Castings",35:1,50%,2.5%,6.5
Watermelon,Sandy,28,46,256,115,Growth Stage,"Cow Manure, Rice Husk, Grass Clippings",30:1,55%,2.0%,6.2
Lettuce,Clay,17,38,223,121,Final Stage,"Chicken Manure, Worm Castings, Fruit Scraps",35:1,50%,2.5%,6.5
Beetroot,Sandy,15,62,140,177,Final Stage,"Alfalfa Hay, Eggshells, Pea Pods",35:1,50%,2.5%,6.5
Tomato,Clay,19,49,214,126,Final Stage,"Tree Leaves, Sugarcane Bagasse, Corn Stalks",35:1,50%,2.5%,6.5
Pumpkin,Sandy,28,42,210,31,Initial Stage,"Cow Manure, Tree Leaves, Sugarcane Bagasse",25:1,60%,1.5%,6.0
Spinach,Sandy,21,57,31,62,Final Stage,"Sugarcane Bagasse, Coffee Grounds, Pea Pods",35:1,50%,2.5%,6.5
Potato,Sandy,23,77,157,106,Growth Stage,"Compost, Rice Husk, Pea Pods",30:1,55%,2.0%,6.2
Peas,Sandy,29,58,284,145,Final Stage,"Seaweed Extract, Worm Castings, Eggshells",35:1,50%,2.5%,6.5
Beetroot,Loamy,29,42,285,179,Final Stage,"Tree Leaves, Banana Peels, Grass Clippings",35:1,50%,2.5%,6.5
Pumpkin,Sandy,24,75,143,132,Final Stage,"Sugarcane Bagasse, Eggshells, Banana Peels",35:1,50%,2.5%,6.5
Pumpkin,Loamy,27,64,18,132,Final Stage,"Seaweed Extract, Banana Peels, Vegetable Scraps",35:1,50%,2.5%,6.5
Spinach,Loamy,33,35,17,119,Final Stage,"Seaweed Extract, Pea Pods, Rice Husk",35:1,50%,2.5%,6.5
Mango,Sandy,21,47,256,151,Final Stage,"Alfalfa Hay, Mulch (Wood Chips), Eggshells",35:1,50%,2.5%,6.5
Cucumber,Loamy,31,34,77,172,Final Stage,"Compost, Vegetable Scraps, Fish Emulsion",35:1,50%,2.5%,6.5
Mango,Clay,34,76,174,135,Final Stage,"Sugarcane Bagasse, Coconut Shells, Pea Pods",35:1,50%,2.5%,6.5
Spinach,Sandy,18,54,193,148,Final Stage,"Worm Castings, Banana Peels, Tree Leaves",35:1,50%,2.5%,6.5
Tomato,Loamy,19,31,112,78,Final Stage,"Corn Stalks, Grass Clippings, Chicken Manure",35:1,50%,2.5%,6.5
Lettuce,Sandy,21,39,113,133,Final Stage,"Vegetable Scraps, Compost, Rice Husk",35:1,50%,2.5%,6.5
Onion,Sandy,27,59,221,90,Growth Stage,"Banana Peels, Grass Clippings, Coffee Grounds",30:1,55%,2.0%,6.2
Spinach,Sandy,29,79,165,152,Final Stage,"Mulch (Wood Chips), Coconut Shells, Worm Castings",35:1,50%,2.5%,6.5
Garlic,Loamy,25,74,131,163,Final Stage,"Compost, Fish Emulsion, Tree Leaves",35:1,50%,2.5%,6.5
Spinach,Clay,18,34,263,38,Final Stage,"Chicken Manure, Coffee Grounds, Mulch (Wood Chips)",35:1,50%,2.5%,6.5
Lettuce,Clay,27,62,54,35,Initial Stage,"Worm Castings, Chicken Manure, Seaweed Extract",25:1,60%,1.5%,6.0
Spinach,Loamy,21,30,130,102,Growth Stage,"Worm Castings, Coconut Shells, Compost",30:1,55%,2.0%,6.2
Garlic,Sandy,33,47,287,132,Final Stage,"Cow Manure, Worm Castings, Alfalfa Hay",35:1,50%,2.5%,6.5
Garlic,Loamy,16,61,265,70,Final Stage,"Tree Leaves, Coconut Shells, Chicken Manure",35:1,50%,2.5%,6.5
Broccoli,Loamy,24,76,161,143,Final Stage,"Banana Peels, Corn Stalks, Coffee Grounds",35:1,50%,2.5%,6.5
Beetroot,Loamy,27,78,86,37,Initial Stage,"Cow Manure, Fruit Scraps, Grass Clippings",25:1,60%,1.5%,6.0
Cauliflower,Sandy,20,40,54,101,Growth Stage,"Fish Emulsion, Tree Leaves, Rice Husk",30:1,55%,2.0%,6.2
Chili,Loamy,26,50,287,121,Final Stage,"Chicken Manure, Coffee Grounds, Eggshells",35:1,50%,2.5%,6.5
Carrot,Sandy,26,55,177,91,Growth Stage,"Fruit Scraps, Vegetable Scraps, Pea Pods",30:1,55%,2.0%,6.2
Mango,Loamy,34,54,7,113,Final Stage,"Fruit Scraps, Tree Leaves, Coffee Grounds",35:1,50%,2.5%,6.5
Lettuce,Clay,25,51,246,91,Growth Stage,"Compost, Pea Pods, Worm Castings",30:1,55%,2.0%,6.2
Cabbage,Loamy,21,56,254,140,Final Stage,"Mulch (Wood Chips), Banana Peels, Grass Clippings",35:1,50%,2.5%,6.5
Broccoli,Loamy,15,78,53,156,Final Stage,"Worm Castings, Coconut Shells, Banana Peels",35:1,50%,2.5%,6.5
Pumpkin,Clay,15,42,248,36,Final Stage,"Worm Castings, Seaweed Extract, Coconut Shells",35:1,50%,2.5%,6.5
Beetroot,Sandy,34,62,238,113,Growth Stage,"Fruit Scraps, Cow Manure, Fish Emulsion",30:1,55%,2.0%,6.2
Zucchini,Sandy,27,63,228,161,Final Stage,"Compost, Coconut Shells, Rice Husk",35:1,50%,2.5%,6.5
Watermelon,Loamy,23,70,66,163,Final Stage,"Fruit Scraps, Mulch (Wood Chips), Tree Leaves",35:1,50%,2.5%,6.5
Cucumber,Clay,17,64,50,87,Final Stage,"Corn Stalks, Vegetable Scraps, Compost",35:1,50%,2.5%,6.5
Zucchini,Sandy,21,30,96,51,Growth Stage,"Pea Pods, Tree Leaves, Chicken Manure",30:1,55%,2.0%,6.2
Chili,Loamy,20,50,91,156,Final Stage,"Compost, Fruit Scraps, Coffee Grounds",35:1,50%,2.5%,6.5
Carrot,Clay,22,77,263,32,Initial Stage,"Grass Clippings, Sugarcane Bagasse, Fish Emulsion",25:1,60%,1.5%,6.0
Chili,Sandy,23,35,290,156,Final Stage,"Tree Leaves, Sugarcane Bagasse, Rice Husk",35:1,50%,2.5%,6.5
Zucchini,Sandy,19,57,95,70,Final Stage,"Coffee Grounds, Seaweed Extract, Alfalfa Hay",35:1,50%,2.5%,6.5
Cucumber,Clay,15,46,87,135,Final Stage,"Eggshells, Banana Peels, Compost",35:1,50%,2.5%,6.5
Peas,Clay,33,34,77,43,Growth Stage,"Sugarcane Bagasse, Compost, Banana Peels",30:1,55%,2.0%,6.2
Carrot,Clay,24,60,287,41,Initial Stage,"Grass Clippings, Mulch (Wood Chips), Coconut Shells",25:1,60%,1.5%,6.0
Pumpkin,Clay,26,34,119,116,Growth Stage,"Tree Leaves, Vegetable Scraps, Sugarcane Bagasse",30:1,55%,2.0%,6.2
Spinach,Loamy,29,67,164,41,Initial Stage,"Eggshells, Seaweed Extract, Cow Manure",25:1,60%,1.5%,6.0
Cabbage,Clay,23,32,181,170,Final Stage,"Chicken Manure, Cow Manure, Eggshells",35:1,50%,2.5%,6.5
Carrot,Sandy,34,52,222,54,Initial Stage,"Banana Peels, Chicken Manure, Sugarcane Bagasse",25:1,60%,1.5%,6.0
Cauliflower,Sandy,31,66,6,74,Final Stage,"Alfalfa Hay, Tree Leaves, Pea Pods",35:1,50%,2.5%,6.5
Tomato,Loamy,31,66,262,151,Final Stage,"Pea Pods, Coffee Grounds, Mulch (Wood Chips)",35:1,50%,2.5%,6.5
Lettuce,Sandy,34,39,160,176,Final Stage,"Pea Pods, Sugarcane Bagasse, Worm Castings",35:1,50%,2.5%,6.5
Zucchini,Sandy,26,39,150,84,Growth Stage,"Vegetable Scraps, Tree Leaves, Worm Castings",30:1,55%,2.0%,6.2
Cabbage,Clay,21,48,84,129,Final Stage,"Cow Manure, Banana Peels, Compost",35:1,50%,2.5%,6.5
Mango,Sandy,16,46,146,165,Final Stage,"Worm Castings, Chicken Manure, Cow Manure",35:1,50%,2.5%,6.5
